,Date,Close/Last,Volume,Open,High,Low,Gain or Loss,Next Day,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,SPY Gain or Loss,SPY Next Day,Quarter,Quarter1,Quarter2,Quarter3,Quarter4,Earnings,iPhone,iPad,Mac,Other
161,07/12/2019,203.3,17595210.0,202.45,204.0,202.2,1.0,1.0,299.85,300.73,299.51,300.65,283.89,40326000.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,07/11/2019,201.75,20191840.0,203.31,204.39,201.71,0.0,1.0,299.32,299.58,298.2,299.31,282.63,50826100.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,07/10/2019,203.23,17897140.0,201.85,203.73,201.56,1.0,0.0,298.37,299.66,297.78,298.61,281.97,58448500.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,07/09/2019,201.24,20578020.0,199.2,201.51,198.81,1.0,1.0,295.54,297.52,295.48,297.19,280.63,41101300.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,07/08/2019,200.02,25338630.0,200.81,201.4,198.41,0.0,1.0,297.01,298.26,296.22,296.82,280.28,45841800.0,0.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,07/05/2019,204.23,17265520.0,203.35,205.08,202.9,0.0,0.0,297.44,298.64,296.01,298.46,281.83,51677300.0,0.0,0.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,07/03/2019,204.41,11362050.0,203.28,204.44,202.6901,1.0,0.0,297.18,298.82,297.02,298.8,282.15,40898900.0,1.0,0.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,07/02/2019,202.73,16935220.0,201.41,203.1323,201.36,1.0,1.0,295.61,296.49,294.68,296.43,279.91,61504500.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,07/01/2019,201.55,27316740.0,203.17,204.49,200.65,1.0,1.0,296.68,296.92,294.33,295.66,279.18,78705600.0,1.0,1.0,2019Q3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,06/28/2019,197.92,31110640.0,198.68,199.495,197.05,0.0,1.0,292.58,293.55,292.01,293.0,276.67,59350900.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,06/27/2019,199.74,20899720.0,200.29,201.57,199.57,0.0,0.0,291.31,292.06,290.89,291.5,275.25,40355200.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,06/26/2019,199.8,26067510.0,197.77,200.99,197.35,1.0,0.0,291.75,292.31,290.35,290.47,274.28,51584900.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,06/25/2019,195.57,21070330.0,198.43,199.26,195.29,0.0,1.0,293.7,293.73,290.64,290.76,274.55,82028700.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,06/24/2019,198.58,18220420.0,198.54,200.16,198.17,0.0,0.0,294.23,294.58,293.47,293.64,277.27,47582700.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,06/21/2019,198.78,47800590.0,198.8,200.85,198.15,0.0,0.0,294.13,295.52,293.76,294.0,277.61,83309500.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,06/20/2019,199.46,21513990.0,200.37,200.61,198.03,1.0,0.0,296.04,296.31,293.13,295.86,278.02,116570000.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,06/19/2019,197.87,21124240.0,199.68,199.88,197.31,0.0,1.0,292.55,293.65,291.47,293.06,275.39,78674400.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,06/18/2019,198.45,26551000.0,196.05,200.29,195.21,1.0,0.0,291.39,293.57,290.99,292.4,274.77,85434800.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,06/17/2019,193.89,14669140.0,192.9,194.96,192.17,1.0,1.0,289.52,290.22,289.18,289.37,271.92,39205700.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,06/14/2019,192.74,18761470.0,191.545,193.5863,190.3,0.0,1.0,289.26,289.93,288.41,289.26,271.82,52324700.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,06/13/2019,194.15,21674630.0,194.7,196.79,193.6,0.0,0.0,289.4,289.98,288.62,289.58,272.12,48945200.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,06/12/2019,194.19,18253190.0,193.95,195.97,193.385,0.0,0.0,288.64,289.26,287.82,288.39,271.0,47096300.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,06/11/2019,194.81,26932880.0,194.86,196.0,193.6,1.0,0.0,290.99,291.4,288.18,288.9,271.48,58641300.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,06/10/2019,192.58,26220850.0,191.81,195.37,191.62,1.0,1.0,289.37,290.82,288.87,288.97,271.54,60799100.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,06/07/2019,190.15,30684390.0,186.51,191.92,185.77,1.0,1.0,285.93,288.85,285.74,287.65,270.3,74272200.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,06/06/2019,185.22,22526310.0,183.08,185.47,182.1489,1.0,1.0,283.29,285.55,282.57,284.8,267.62,69430400.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,06/05/2019,182.54,29773430.0,184.28,184.99,181.14,1.0,1.0,282.33,282.99,280.32,282.96,265.9,71169700.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,06/04/2019,179.64,30967960.0,175.44,179.83,174.52,1.0,1.0,277.12,280.68,276.62,280.53,263.61,77231900.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,06/03/2019,173.3,40396070.0,175.6,177.92,170.27,0.0,1.0,275.31,276.55,273.09,274.57,258.01,96428000.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,05/31/2019,175.07,27043580.0,176.23,177.99,174.99,0.0,0.0,276.2,277.12,275.24,275.27,258.67,86862800.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,05/30/2019,178.3,21218410.0,177.95,179.23,176.67,1.0,0.0,279.11,280.04,277.81,279.03,262.2,62523800.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,05/29/2019,177.38,28481170.0,176.42,179.35,176.0,0.0,1.0,278.91,279.36,276.71,278.27,261.49,104972900.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,05/28/2019,178.23,27948160.0,178.92,180.59,177.91,0.0,0.0,283.09,284.15,280.13,280.15,263.26,70029400.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,05/24/2019,178.97,23714690.0,180.2,182.14,178.62,0.0,0.0,283.74,284.2,282.09,282.78,265.73,55268100.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,05/23/2019,179.66,36529740.0,179.8,180.54,177.81,0.0,0.0,283.16,283.21,280.57,282.14,265.13,98733800.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,05/22/2019,182.78,29748560.0,184.66,185.71,182.55,0.0,0.0,285.45,286.69,285.1,285.63,268.4,49482500.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,05/21/2019,186.6,28364850.0,185.22,188.0,184.7,1.0,0.0,285.83,286.93,285.55,286.51,269.23,46847100.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
